"","","","1-12歲","","13-19歲","","20-29歲","","30-39歲","","40-49歲","","50-59歲","","60歲以上","",""
"","","","1-12Years","","13-19Years","","20-29Years","","30-39Years","","40-49Years","","50-59Years","","60Years and Over","",""
"年別","月份","居住地","男","女","男","女","男","女","男","女","男","女","男","女","男","女","小計"
"Years","Months","Residence","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Total"
"113","4","新加坡(Singapore)","1074","1010","445","456","1460","2347","2876","3933","2829","3071","2044","2467","2082","2614","28708"
"113","4","菲律賓(Philippines)","657","580","280","250","1676","2058","3226","3068","2559","1948","1772","1369","1491","1088","22022"
"113","4","非洲地區(Africa)","0","1","0","0","0","2","3","4","4","6","1","6","3","4","34"
"113","4","埃及(Egypt)","0","0","0","0","0","2","3","4","0","6","1","5","3","3","27"
"113","4","美洲地區(Americas)","735","800","541","563","1825","1980","3569","3853","4004","3594","3671","4322","7956","9866","47279"
"113","4","美國(USA)","560","607","468","465","1642","1703","3292","3360","3632","3108","3352","3716","6685","8171","40761"
"113","4","加拿大(Canada)","175","193","73","98","182","277","275","492","372","486","319","606","1271","1695","6514"
"113","4","大洋洲地區(Oceania)","447","429","213","199","792","1351","1265","1800","990","1366","835","1536","1819","2438","15480"
"113","4","澳洲(Australia)","388","371","181","181","687","1160","944","1371","755","1082","617","1085","1153","1484","11459"
"113","4","紐西蘭(New Zealand)","40","43","11","10","37","92","174","248","108","178","153","385","582","899","2960"
"113","4","歐洲地區(Europe)","302","320","186","226","1100","1738","2755","3579","2443","2976","2406","3777","3298","4509","29615"
"113","4","比利時(Belgium)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","4","法國(France)","41","42","32","48","147","254","357","490","406","477","345","576","459","650","4324"
"113","4","德國(Germany)","86","82","39","34","276","425","736","734","825","721","712","699","720","855","6944"
"113","4","義大利(Italy)","30","22","16","20","154","280","576","780","356","540","370","679","535","738","5096"
"113","4","荷蘭(Netherlands)","39","54","24","28","126","219","346","510","314","397","321","571","623","895","4467"
"113","4","英國(U.K.)","61","72","47","60","159","286","179","336","125","224","110","190","134","190","2173"
"113","4","西班牙(Spain)","0","0","0","0","2","1","1","0","1","1","1","2","2","4","15"
"113","4","瑞典(Sweden)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","4","瑞士(Switzerland)","1","0","0","3","1","0","1","2","1","3","2","2","0","0","16"
"113","4","挪威(Norway)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","4","其他未列明(Unknow)","0","0","0","0","16","1","25","1","18","1","14","1","20","14","111"
"113","5","亞洲地區(Asia)","33747","33951","12978","16366","66409","101378","117555","141179","116891","124353","101143","118111","134342","142956","1261359"
"113","5","日本(Japan)","19354","19173","7066","8211","29237","40160","48753","60432","37683","48762","24713","41144","32986","47089","464763"
"113","5","韓國(Korea)","2736","3001","1422","3053","6094","18565","9265","20308","7105","15311","4757","10016","4730","7995","114358"
"113","5","香港(Hong Kong)","2036","2600","588","844","5281","9974","8867","11555","9629","8054","8012","7139","8682","7825","91086"
"113","5","中國大陸(China)","2883","2717","1496","1612","7789","9171","16801","14017","28069","18127","33223","27046","50123","41174","254248"
"113","5","澳門(Macao)","981","1029","320","352","1936","2854","3877","4225","4867","3926","4946","3978","5894","4373","43558"
