"","","","1-12歲","","13-19歲","","20-29歲","","30-39歲","","40-49歲","","50-59歲","","60歲以上","",""
"","","","1-12Years","","13-19Years","","20-29Years","","30-39Years","","40-49Years","","50-59Years","","60Years and Over","",""
"年別","月份","居住地","男","女","男","女","男","女","男","女","男","女","男","女","男","女","小計"
"Years","Months","Residence","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Total"
"113","5","荷蘭(Netherlands)","52","59","22","19","138","209","363","520","308","390","242","387","367","463","3539"
"113","5","英國(U.K.)","31","30","15","20","127","272","157","381","89","190","110","264","216","309","2211"
"113","5","西班牙(Spain)","0","0","0","0","2","3","1","4","1","0","2","1","0","1","15"
"113","5","瑞典(Sweden)","0","0","0","0","0","1","0","1","0","0","0","1","1","0","4"
"113","5","瑞士(Switzerland)","1","0","0","0","0","1","3","3","0","0","2","3","2","8","23"
"113","5","挪威(Norway)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","5","其他未列明(Unknow)","0","0","0","0","32","8","20","3","18","0","19","6","15","10","131"
"113","6","亞洲地區(Asia)","63911","63980","36502","42944","87942","128253","115661","140168","136668","161034","108605","123439","118239","126819","1454165"
"113","6","日本(Japan)","34770","34413","18135","19500","37802","48593","45836","57378","52093","69671","32008","46562","31283","46544","574588"
"113","6","韓國(Korea)","4785","5733","3453","6672","8079","21950","9052","19459","8987","19134","5917","11496","4832","8541","138090"
"113","6","香港(Hong Kong)","4221","4622","2229","2921","7542","13965","10017","13781","10795","10770","8469","8012","8406","7727","113477"
"113","6","中國大陸(China)","5825","5694","4097","4519","9598","12454","15985","13595","26556","19860","30969","24399","40739","30195","244485"
"113","6","澳門(Macao)","2114","1967","798","977","2612","3814","4168","4837","5253","5207","5217","4175","5244","3851","50234"
"113","6","越南(Vietnam)","3727","3627","1868","1941","4814","5455","8765","7795","11513","12535","10218","9446","10745","10004","102453"
"113","6","泰國(Thailand)","3557","3360","2282","2574","9073","10614","9887","10193","9826","10708","6688","7741","5951","6958","99412"
"113","6","馬來西亞(Malaysia)","1118","1056","785","700","2017","2731","2646","2908","2850","3235","2390","2973","2923","3434","31766"
"113","6","新加坡(Singapore)","1745","1557","999","1178","2036","3305","2974","3883","3107","3782","2224","2724","2187","2931","34632"
"113","6","菲律賓(Philippines)","1034","947","1074","1048","1921","2379","2766","2414","2410","2127","1495","1218","1191","821","22845"
"113","6","非洲地區(Africa)","2","0","1","0","5","3","4","1","1","0","2","4","1","1","25"
"113","6","埃及(Egypt)","2","0","1","0","3","2","3","0","0","0","2","3","0","0","16"
"113","6","美洲地區(Americas)","2405","2394","2045","2208","2920","3926","3238","3924","4842","5333","4248","5228","7619","9397","59727"
"113","6","美國(USA)","2028","2011","1713","1731","2623","3409","2877","3331","4331","4474","3764","4329","6347","7748","50716"
"113","6","加拿大(Canada)","376","383","332","477","297","516","360","593","510","858","484","899","1271","1648","9004"
"113","6","大洋洲地區(Oceania)","721","640","694","757","1055","1770","1071","1569","1172","1665","985","1492","1422","1795","16808"
"113","6","澳洲(Australia)","554","532","567","651","824","1461","711","1125","867","1303","740","1158","1155","1496","13144"
"113","6","紐西蘭(New Zealand)","104","69","70","64","101","157","138","225","140","201","114","220","189","243","2035"
"113","6","歐洲地區(Europe)","812","881","871","1118","1591","2432","2571","3504","2855","3991","3012","4617","3404","4364","36023"
"113","6","比利時(Belgium)","0","0","0","0","1","0","0","0","1","1","1","0","0","0","4"
"113","6","法國(France)","122","147","115","170","250","382","404","662","464","683","446","614","413","533","5405"
"113","6","德國(Germany)","173","199","233","299","393","530","712","783","905","932","881","1109","908","1132","9189"
"113","6","義大利(Italy)","134","129","134","148","232","362","423","522","379","683","472","853","681","860","6012"
"113","6","荷蘭(Netherlands)","120","116","105","115","226","328","375","514","388","550","361","521","392","469","4580"
"113","6","英國(U.K.)","109","96","108","129","182","334","202","346","192","336","210","372","213","292","3121"
"113","6","西班牙(Spain)","4","5","2","3","4","5","1","8","6","11","4","2","2","5","62"
"113","6","瑞典(Sweden)","0","0","0","0","0","1","0","0","1","0","1","0","1","1","5"
"113","6","瑞士(Switzerland)","0","0","3","0","1","3","5","5","2","4","1","1","3","1","29"
"113","6","挪威(Norway)","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"113","6","其他未列明(Unknow)","0","1","0","0","14","2","19","0","22","4","23","1","15","3","104"
"113","7","亞洲地區(Asia)","95325","91770","69672","75514","72428","104768","91195","115074","151021","185547","107277","110378","93464","97303","1460736"
"113","7","日本(Japan)","46177","43424","31106","30999","28118","35586","32994","44160","59702","80037","31976","40497","24672","37049","566497"
"113","7","韓國(Korea)","7516","8617","6304","10958","6316","18279","6499","14649","10801","20291","5855","10094","3507","6631","136317"
"113","7","香港(Hong Kong)","5725","5913","3507","4148","6289","10302","8366","11078","10959","11683","8441","7414","7235","6343","107403"
"113","7","中國大陸(China)","10824","10225","10438","10632","10187","12787","14742","12667","27107","22201","28953","20438","30696","19461","241358"
"113","7","澳門(Macao)","2647","2575","1525","1575","1881","2853","3092","3730","4676","4720","4411","3147","3847","2659","43338"
"113","7","越南(Vietnam)","7184","6835","4440","4587","4718","5543","7713","8143","12693","15420","10110","8546","8870","8222","113024"
"113","7","泰國(Thailand)","6027","5700","4623","4779","6782","8295","8020","8661","10902","12872","6873","7254","5147","5833","101768"
"113","7","馬來西亞(Malaysia)","2544","2248","1864","1773","2037","2643","2492","3026","3879","4928","2881","3680","2849","3631","40475"
"113","7","新加坡(Singapore)","3096","2989","2351","2475","2145","3690","2802","4124","4188","5661","2844","3462","2154","2816","44797"
"113","7","菲律賓(Philippines)","1753","1543","1675","1624","1641","2075","1881","1902","2552","2668","1584","1322","1160","910","24290"
"113","7","非洲地區(Africa)","0","0","0","0","0","0","0","3","0","0","0","2","3","4","12"
"113","7","埃及(Egypt)","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"113","7","美洲地區(Americas)","4033","3926","3340","3579","3251","3533","3233","3758","5461","7341","4076","5170","5156","6438","62295"
"113","7","美國(USA)","3453","3332","2818","2990","2933","3013","2940","3251","4884","6443","3639","4507","4314","5337","53854"
"113","7","加拿大(Canada)","578","592","519","588","317","519","293","507","577","896","437","663","841","1101","8428"
"113","7","大洋洲地區(Oceania)","1477","1437","1504","1597","1244","1998","795","1386","1548","2632","1148","1635","903","1220","20524"
"113","7","澳洲(Australia)","1173","1079","1182","1271","1070","1731","596","1101","1192","2047","889","1310","740","996","16377"
"113","7","紐西蘭(New Zealand)","222","280","215","234","129","185","133","193","205","395","147","234","117","180","2869"
"113","7","歐洲地區(Europe)","1197","1237","1561","1780","1433","2292","1519","2247","2269","3725","2385","3493","1701","2285","29124"
"113","7","比利時(Belgium)","0","0","0","0","0","1","2","1","0","0","0","2","0","0","6"
"113","7","法國(France)","128","154","144","160","210","310","277","412","309","445","264","384","207","278","3682"
"113","7","德國(Germany)","333","284","420","414","346","499","409","501","669","921","715","840","460","589","7400"
"113","7","義大利(Italy)","173","170","217","271","173","288","203","333","342","592","394","531","278","403","4368"
"113","7","荷蘭(Netherlands)","156","169","155","141","183","313","265","334","261","417","250","411","229","294","3578"
"113","7","英國(U.K.)","187","199","233","276","216","350","139","270","217","439","227","375","178","246","3552"
"113","7","西班牙(Spain)","1","1","0","1","3","4","2","4","1","2","2","3","0","0","24"
"113","7","瑞典(Sweden)","0","2","1","0","0","0","0","0","0","2","2","2","0","1","10"
"113","7","瑞士(Switzerland)","2","1","3","0","1","1","3","4","2","6","1","5","1","2","32"
"113","7","挪威(Norway)","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"113","7","其他未列明(Unknow)","0","0","0","0","14","4","21","10","15","3","25","2","15","1","110"
"113","8","亞洲地區(Asia)","82728","80438","55831","61059","85030","118070","101283","121540","144464","170496","108928","114271","97310","99596","1441044"
"113","8","日本(Japan)","40493","38707","25959","25775","34739","42315","37395","47004","54403","71559","32115","41859","24509","36353","553185"
"113","8","韓國(Korea)","7340","8143","5789","9645","8183","20037","7896","16294","10453","19912","6378","10709","3852","6856","141487"
"113","8","香港(Hong Kong)","5106","5455","3066","3675","6850","11316","8693","11077","11013","11198","8596","7832","7772","6548","108197"
"113","8","中國大陸(China)","9650","9117","7586","7992","10855","13552","15558","13449","27959","21409","29972","21436","33502","22118","244155"
"113","8","澳門(Macao)","2603","2489","1282","1508","2087","3025","3359","3880","4742","4622","4301","3094","3816","2653","43461"
"113","8","越南(Vietnam)","5672","5267","3580","3476","5215","5884","8188","7699","12297","13644","10145","9038","9066","8306","107477"
"113","8","泰國(Thailand)","5118","5017","3689","3948","7878","9655","9057","9669","10574","12474","7201","7720","5123","5887","103010"
"113","8","馬來西亞(Malaysia)","1864","1782","1373","1352","2227","2896","2795","3087","3383","4175","2582","3365","2558","3055","36494"
"113","8","新加坡(Singapore)","2197","1980","1283","1432","2205","3488","2879","3875","3675","4400","2520","2931","1967","2255","37087"
"113","8","菲律賓(Philippines)","1074","1007","863","913","1715","2056","2039","1759","2340","2177","1468","1167","1078","785","20441"
"113","8","非洲地區(Africa)","0","0","1","0","3","1","1","0","1","1","0","1","0","0","9"
"113","8","埃及(Egypt)","0","0","0","0","0","1","1","0","0","0","0","1","0","0","3"
"113","8","美洲地區(Americas)","2666","2705","3322","3306","5440","5709","3204","3690","4564","6159","4452","5634","4777","5275","60903"
"113","8","美國(USA)","2293","2359","2650","2535","4914","5037","2939","3306","4035","5366","3967","4849","4186","4526","52962"
"113","8","加拿大(Canada)","373","345","671","771","526","672","263","383","528","792","485","785","589","747","7930"
"113","8","大洋洲地區(Oceania)","898","895","864","831","975","1544","963","1396","1372","1948","1145","1567","1068","1409","16875"
"113","8","澳洲(Australia)","736","737","706","693","793","1301","724","1110","1061","1564","871","1252","816","1121","13485"
"113","8","紐西蘭(New Zealand)","99","90","76","74","94","157","121","178","146","233","159","210","202","236","2075"
"113","8","歐洲地區(Europe)","987","1170","1093","1207","1557","2723","1462","2325","1884","3316","2324","3674","1993","2450","28165"
"113","8","比利時(Belgium)","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"113","8","法國(France)","128","154","129","143","245","456","223","346","246","447","277","458","225","259","3736"
"113","8","德國(Germany)","252","273","265","306","370","584","426","622","530","843","650","967","556","738","7382"
"113","8","義大利(Italy)","114","121","176","231","213","326","182","293","254","500","372","575","292","357","4006"
"113","8","荷蘭(Netherlands)","135","188","152","144","222","428","197","348","249","415","250","353","222","268","3571"
"113","8","英國(U.K.)","166","219","149","171","195","399","156","282","181","438","192","385","188","261","3382"
"113","8","西班牙(Spain)","0","1","0","1","4","4","1","2","2","0","0","5","6","6","32"
"113","8","瑞典(Sweden)","0","0","0","0","1","3","0","2","0","1","0","2","0","0","9"
"113","8","瑞士(Switzerland)","3","0","0","1","2","6","0","1","4","4","2","2","1","0","26"
"113","8","挪威(Norway)","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2"
"113","8","其他未列明(Unknow)","0","0","1","0","23","1","20","0","10","2","17","1","16","0","91"
"113","9","亞洲地區(Asia)","28732","28613","7776","9705","83146","119670","125214","145243","113486","120787","101585","121040","126858","136032","1267887"
"113","9","日本(Japan)","16257","15969","3420","3833","37653","48632","52618","61756","36776","45398","27663","43667","32949","45640","472231"
"113","9","韓國(Korea)","2718","2970","873","1770","8257","22035","10754","22600","7361","15844","5310","11310","5293","9189","126284"
"113","9","香港(Hong Kong)","1753","1973","496","663","6653","11607","9636","11960","10097","8532","8841","8065","9186","8373","97835"
"113","9","中國大陸(China)","2216","2074","1077","1179","8071","9645","15288","12246","24606","16415","29044","23953","43151","34635","223600"
"113","9","澳門(Macao)","926","948","190","248","2409","3491","3954","4240","4181","3717","4345","3523","4618","3391","40181"
"113","9","越南(Vietnam)","1840","1883","479","583","4588","4995","9447","7620","11272","11012","10523","10195","12741","12635","99813"
"113","9","泰國(Thailand)","1278","1244","504","675","7705","8905","11006","11066","8879","9089","6839","8299","6850","7522","89861"
"113","9","馬來西亞(Malaysia)","502","413","136","177","1408","1898","2402","2627","2248","2414","2055","2877","2952","3724","25833"
"113","9","新加坡(Singapore)","604","547","221","198","2250","3421","3689","4446","2953","2940","2252","2632","2341","2934","31428"
"113","9","菲律賓(Philippines)","263","275","125","126","1473","1709","2253","1893","1813","1266","1269","949","1084","767","15265"
"113","9","非洲地區(Africa)","0","0","0","0","2","4","0","4","1","2","2","2","0","3","20"
"113","9","埃及(Egypt)","0","0","0","0","2","3","0","4","0","2","0","1","0","2","14"
"113","9","美洲地區(Americas)","646","681","670","736","2964","3283","3665","3757","4046","3634","3813","4498","6590","7687","46670"
"113","9","美國(USA)","480","513","505","552","2612","2772","3325","3226","3678","3074","3401","3644","5445","6243","39470"
"113","9","加拿大(Canada)","166","168","165","184","352","511","340","531","367","560","412","854","1142","1444","7196"
"113","9","大洋洲地區(Oceania)","242","231","131","144","835","1508","1094","1698","789","1173","804","1344","1386","1762","13141"
"113","9","澳洲(Australia)","214","205","122","137","725","1355","872","1412","652","982","647","1097","1044","1316","10780"
"113","9","紐西蘭(New Zealand)","18","18","2","5","47","72","116","174","57","99","73","177","276","399","1533"
"113","9","歐洲地區(Europe)","271","296","250","308","1991","3471","2826","3975","2711","3431","2875","4902","3924","5212","36443"
"113","9","比利時(Belgium)","0","0","0","1","1","3","1","0","0","0","0","0","0","0","6"
"113","9","法國(France)","43","35","41","35","254","509","439","723","479","592","433","718","404","528","5233"
"113","9","德國(Germany)","84","74","54","78","470","693","771","870","803","861","792","1139","1120","1336","9145"
"113","9","義大利(Italy)","26","37","28","24","221","399","469","714","360","596","456","925","752","1063","6070"
"113","9","荷蘭(Netherlands)","37","43","23","29","273","474","445","581","420","455","309","442","335","439","4305"
"113","9","英國(U.K.)","41","57","81","96","407","763","173","326","135","240","190","340","219","293","3361"
"113","9","西班牙(Spain)","0","1","0","0","2","5","4","0","0","1","0","1","0","0","14"
"113","9","瑞典(Sweden)","0","0","0","0","0","0","1","1","0","1","0","0","0","0","3"
"113","9","瑞士(Switzerland)","0","1","0","0","1","0","1","2","2","0","1","1","1","3","13"
"113","9","挪威(Norway)","0","0","0","0","0","0","0","0","0","2","1","0","0","0","3"
"113","9","其他未列明(Unknow)","0","0","2","0","25","1","32","1","31","3","7","0","6","2","110"
"113","10","亞洲地區(Asia)","31149","30647","7245","8784","72652","108787","129851","151871","119094","126501","106883","130178","140079","152621","1316342"
"113","10","日本(Japan)","16033","15616","2833","3265","31584","42657","54460","64040","36211","44856","27197","45401","36708","51120","471981"
"113","10","韓國(Korea)","2539","2711","748","1381","6806","20415","10550","23409","7439","16825","5489","12898","6491","11624","129325"
"113","10","香港(Hong Kong)","2653","2890","633","799","6692","11369","10710","12990","12102","9784","10264","8800","10311","8892","108889"
"113","10","中國大陸(China)","3263","3019","1242","1279","7857","9441","16878","13521","27374","18829","32550","27418","48602","40702","251975"
"113","10","澳門(Macao)","1096","1136","220","286","1959","2702","3757","4054","4750","4074","4800","3697","5235","3813","41579"
"113","10","越南(Vietnam)","2059","1893","459","544","4434","4818","9648","8048","11642","11276","10847","11332","13830","14602","105432"
"113","10","泰國(Thailand)","1696","1617","495","623","6989","8924","11753","12605","9454","10424","7199","9182","7771","8880","97612"
"113","10","馬來西亞(Malaysia)","420","419","123","120","1445","1927","2653","2782","2380","2417","2063","2728","2612","2998","25087"
"113","10","新加坡(Singapore)","617","600","181","214","1619","2703","3016","3881","2548","2683","1837","2425","2068","2634","27026"
"113","10","菲律賓(Philippines)","295","274","64","62","1190","1384","2279","1972","1753","1215","1211","923","1114","710","14446"
"113","10","非洲地區(Africa)","2","0","0","0","0","3","4","6","3","1","1","0","1","2","23"
"113","10","埃及(Egypt)","0","0","0","0","0","2","2","3","2","0","0","0","1","1","11"
"113","10","美洲地區(Americas)","498","514","172","169","1889","2411","3672","4145","3925","3464","3656","4626","7033","8608","44782"
"113","10","美國(USA)","408","418","152","150","1648","1966","3307","3514","3585","2996","3257","3849","6034","7294","38578"
"113","10","加拿大(Canada)","90","96","20","19","241","444","365","631","339","468","399","777","998","1314","6201"
"113","10","大洋洲地區(Oceania)","359","363","119","132","854","1426","1104","1808","909","1299","886","1524","1638","2219","14640"
"113","10","澳洲(Australia)","299","311","101","112","732","1255","853","1387","699","1035","643","1140","1183","1557","11307"
"113","10","紐西蘭(New Zealand)","46","42","14","12","64","111","148","265","101","162","149","331","402","634","2481"
"113","10","歐洲地區(Europe)","201","222","128","154","1188","2079","2625","3788","2331","3338","2530","4600","3466","4771","31421"
"113","10","比利時(Belgium)","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"113","10","法國(France)","38","38","43","71","186","343","453","689","413","609","429","690","444","576","5022"
"113","10","德國(Germany)","50","49","37","38","301","485","602","755","659","699","637","907","705","910","6834"
"113","10","義大利(Italy)","29","14","8","13","191","340","517","773","415","622","469","1004","765","1090","6250"
"113","10","荷蘭(Netherlands)","23","43","9","9","183","277","351","466","281","355","207","316","303","339","3162"
"113","10","英國(U.K.)","17","18","9","7","138","265","203","368","126","206","104","230","157","200","2048"
"113","10","西班牙(Spain)","1","0","1","0","1","4","3","5","3","2","1","1","0","0","22"
"113","10","瑞典(Sweden)","0","0","0","0","0","0","1","0","0","0","1","1","0","0","3"
"113","10","瑞士(Switzerland)","0","0","0","0","4","1","1","1","1","0","0","1","0","0","9"
"113","10","挪威(Norway)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","10","其他未列明(Unknow)","97","88","37","24","147","166","186","214","282","301","296","326","264","343","2771"
"113","11","亞洲地區(Asia)","26964","27479","6518","7640","70259","103254","122344","144242","115279","125981","104516","129183","137810","153482","1274951"
"113","11","日本(Japan)","14304","14150","2405","2771","30094","41309","52099","61738","36798","47893","28797","49978","41002","59358","482696"
"113","11","韓國(Korea)","2235","2658","729","1336","6364","17395","9591","20923","6718","15883","4770","11519","5611","10647","116379"
"113","11","香港(Hong Kong)","2047","2411","574","668","6328","10644","9589","12280","10333","8970","8599","7479","8941","7677","96540"
"113","11","中國大陸(China)","2459","2418","1174","1124","8248","10116","16084","13869","26570","18535","30992","26119","44387","36471","238566"
"113","11","澳門(Macao)","888","918","300","341","1936","2827","3657","3951","4734","4027","5000","4002","5418","4072","42071"
"113","11","越南(Vietnam)","2108","2123","457","491","4312","4848","9575","8385","11926","11983","11562","11963","14913","15812","110458"
"113","11","泰國(Thailand)","1587","1477","452","473","7729","9458","11724","12555","9069","9436","6861","8180","7400","7921","94322"
"113","11","馬來西亞(Malaysia)","355","344","151","138","1057","1339","2008","2025","1931","1995","1835","2242","2707","3147","21274"
"113","11","新加坡(Singapore)","426","423","98","132","1086","1866","2241","2867","2166","2170","1785","2010","1837","2071","21178"
"113","11","菲律賓(Philippines)","230","204","63","67","1094","1258","2095","1743","1794","1138","1246","870","1141","754","13697"
"113","11","非洲地區(Africa)","1","1","0","0","0","2","6","4","2","2","0","3","0","1","22"
"113","11","埃及(Egypt)","1","1","0","0","0","1","6","4","1","1","0","0","0","0","15"
"113","11","美洲地區(Americas)","483","509","153","184","1706","1922","3393","3567","3827","3347","3407","4025","7380","9133","43036"
"113","11","美國(USA)","413","439","132","154","1523","1651","3085","3128","3503","3017","3131","3534","6664","8268","38642"
"113","11","加拿大(Canada)","70","70","21","30","183","271","306","439","323","327","276","491","715","863","4385"
"113","11","大洋洲地區(Oceania)","223","256","39","55","784","1385","1150","1784","905","1132","850","1506","1950","2552","14571"
"113","11","澳洲(Australia)","180","210","37","47","646","1177","752","1298","673","821","578","1008","1260","1555","10242"
"113","11","紐西蘭(New Zealand)","35","35","1","5","74","134","189","279","112","192","176","416","627","958","3233"
"113","11","歐洲地區(Europe)","171","198","103","138","1091","1728","2490","3328","2430","3119","2335","3682","2604","3320","26737"
"113","11","比利時(Belgium)","0","0","0","0","0","0","1","0","0","0","1","3","0","0","5"
"113","11","法國(France)","27","40","25","46","183","306","397","618","395","583","375","588","470","565","4618"
"113","11","德國(Germany)","42","34","17","17","247","374","695","750","817","733","652","765","602","678","6423"
"113","11","義大利(Italy)","16","25","13","10","181","233","405","507","348","495","378","705","532","726","4574"
"113","11","荷蘭(Netherlands)","28","26","16","17","140","211","336","406","311","312","251","285","214","212","2765"
"113","11","英國(U.K.)","21","22","21","28","138","239","169","298","124","179","104","207","91","140","1781"
"113","11","西班牙(Spain)","1","0","0","0","1","0","0","3","1","3","1","4","2","0","16"
"113","11","瑞典(Sweden)","0","0","0","0","0","1","1","0","0","0","0","0","0","1","3"
"113","11","瑞士(Switzerland)","0","0","0","0","0","1","2","0","0","0","0","1","0","0","4"
"113","11","挪威(Norway)","0","0","0","0","0","0","1","2","0","0","0","0","0","0","3"
"113","11","其他未列明(Unknow)","78","82","7","5","75","57","99","96","117","122","65","138","217","335","1493"
"總計(Total)","","","2069932","2032551","1070176","1202504","3240104","4708082","5041999","5987594","5449039","5948756","4472862","4972162","5023293","5251127","56470181"
